reviewid,title,artist,score,genre,year,url
15310,black sun,kode9 & the spaceape,7.7,electronic,2011,http://pitchfork.com/reviews/albums/15310-black-sun/
1413,singles 93-03,the chemical brothers,7.8,electronic,2003,http://pitchfork.com/reviews/albums/1413-singles-93-03/
20018,21 again,mouse on mars,7.3,electronic,2014,http://pitchfork.com/reviews/albums/20018-mouse-on-mars-21-again/
13307,smoke the monster out,damian lazarus,6.0,electronic,2009,http://pitchfork.com/reviews/albums/13307-smoke-the-monster-out/
13363,solo electric bass 1,squarepusher,5.6,electronic,2009,http://pitchfork.com/reviews/albums/13363-solo-electric-bass-1/
14334,homemade extacy,florene,5.4,electronic,2010,http://pitchfork.com/reviews/albums/14334-homemade-extacy/
8719,house of binary,the wisdom of harry,8.2,electronic,2000,http://pitchfork.com/reviews/albums/8719-house-of-binary/
8322,royal astronomy,-ziq,5.1,electronic,1999,http://pitchfork.com/reviews/albums/8322-royal-astronomy/
16155,vienna blue,tin man,6.7,electronic,2012,http://pitchfork.com/reviews/albums/16155-vienna-blue/
11859,huge chrome cylinder box unfolding,venetian snares,7.9,electronic,2004,http://pitchfork.com/reviews/albums/11859-huge-chrome-cylinder-box-unfoldinghorse-and-goat/
19517,worlds,porter robinson,6.9,electronic,2014,http://pitchfork.com/reviews/albums/19517-porter-robinson-worlds/
19139,recess,skrillex,5.7,electronic,2014,http://pitchfork.com/reviews/albums/19139-skrillex-recess/
540,the magical sounds of...,banco de gaia,8.0,electronic,1999,http://pitchfork.com/reviews/albums/540-the-magical-sounds-of/
4163,western store,isole,8.2,electronic,2006,http://pitchfork.com/reviews/albums/4163-western-store/
2377,endtroducing... [deluxe edition],dj shadow,10.0,electronic,2005,http://pitchfork.com/reviews/albums/2377-endtroducing-deluxe-edition/
12425,sound sculptures volume 1,theo parrish,8.6,electronic,2008,http://pitchfork.com/reviews/albums/12425-sound-sculptures-volume-1/
22010,pagan,palmistry,5.0,electronic,2016,http://pitchfork.com/reviews/albums/22010-pagan/
15892,iii,gui boratto,6.4,electronic,2011,http://pitchfork.com/reviews/albums/15892-gui-boratto-iii/
7776,kate,spalding rockwell,3.0,electronic,2004,http://pitchfork.com/reviews/albums/7776-kate/
9943,happy in grey,damero,6.8,electronic,2007,http://pitchfork.com/reviews/albums/9943-happy-in-grey/
20071,miscontinuum album,jan st. werner,7.8,electronic,2015,http://pitchfork.com/reviews/albums/20071-miscontinuum-album/
2137,human after all,daft punk,4.9,electronic,2005,http://pitchfork.com/reviews/albums/2137-human-after-all/
18813,journey of the deep sea dweller iv,drexciya,7.9,electronic,2014,http://pitchfork.com/reviews/albums/18813-drexciya-journey-of-the-deep-sea-dweller-iv/
11280,street horrrsing,fuck buttons,8.6,electronic,2008,http://pitchfork.com/reviews/albums/11280-street-horrrsing/
20297,the past we leave behind,pale blue,6.9,electronic,2015,http://pitchfork.com/reviews/albums/20297-the-past-we-leave-behind/
1111,lucky hands,thomas brinkmann,6.6,electronic,2006,http://pitchfork.com/reviews/albums/1111-lucky-hands/
20741,hanging out the birds ep,blawan,7.3,electronic,2015,http://pitchfork.com/reviews/albums/20741-hanging-out-the-birds-ep/
18663,outside,cfcf,6.7,electronic,2013,http://pitchfork.com/reviews/albums/18663-cfcf-outside/
15586,living: 2009-present,tearist,6.7,electronic,2011,http://pitchfork.com/reviews/albums/15586-living-2009-present/
12465,electric arguments,the fireman,7.3,electronic,2008,http://pitchfork.com/reviews/albums/12465-electric-arguments/
18679,nonfiction,the range,8.2,electronic,2013,http://pitchfork.com/reviews/albums/18679-the-range-nonfiction/
14053,"raw cuts, vol. 1",motor city drum ensemble,8.3,electronic,2010,http://pitchfork.com/reviews/albums/14053-raw-cuts-vol-1/
10429,new waves ep,the tough alliance,8.0,electronic,2007,http://pitchfork.com/reviews/albums/10429-new-waves-ep/
5459,niun niggung,mouse on mars,7.9,electronic,2000,http://pitchfork.com/reviews/albums/5459-niun-niggung/
360,peel session 2 ep,autechre,6.9,electronic,2000,http://pitchfork.com/reviews/albums/360-peel-session-2-ep/
8507,th au harem d'archimde,ricardo villalobos,8.2,electronic,2005,http://pitchfork.com/reviews/albums/8507-the-au-harem-darchimede/
22281,false readings on,eluvium,7.0,electronic,2016,http://pitchfork.com/reviews/albums/22281-false-readings-on/
4569,salmiakki,sami koivikko,7.1,electronic,2004,http://pitchfork.com/reviews/albums/4569-salmiakki/
4955,sheath,lfo,7.3,electronic,2003,http://pitchfork.com/reviews/albums/4955-sheath/
18638,drone logic,daniel avery,7.2,electronic,2013,http://pitchfork.com/reviews/albums/18638-daniel-avery-drone-logic/
14833,live in japan,fenn o'berg,6.5,electronic,2010,http://pitchfork.com/reviews/albums/14833-live-in-japan/
16220,patience (after sebald),the caretaker,8.0,electronic,2012,http://pitchfork.com/reviews/albums/16220-patience-after-sebald/
11592,the dream,the orb,3.6,electronic,2008,http://pitchfork.com/reviews/albums/11592-the-dream/
9147,dj kicks,four tet,8.1,electronic,2006,http://pitchfork.com/reviews/albums/9147-dj-kicks/
19148,it's album time,todd terje,8.7,electronic,2014,http://pitchfork.com/reviews/albums/19148-todd-terje-its-album-time/
5562,out of breach (manchester's revenge),mu,8.2,electronic,2005,http://pitchfork.com/reviews/albums/5562-out-of-breach-manchesters-revenge/
20685,asdfasdf,katie dey,7.0,electronic,2015,http://pitchfork.com/reviews/albums/20685-katie-dey-asdfasdf/
21990,twentyears,air,5.6,electronic,2016,http://pitchfork.com/reviews/albums/21990-twentyears/
22381,body wash,mndsgn,7.7,electronic,2016,http://pitchfork.com/reviews/albums/22381-body-wash/
22114,plum,john roberts,6.9,electronic,2016,http://pitchfork.com/reviews/albums/22114-plum/
13998,in stereo,fenn o'berg,6.5,electronic,2010,http://pitchfork.com/reviews/albums/13998-in-stereo/
22388,electronic music from the seventies and eighties,carl stone,6.7,electronic,2016,http://pitchfork.com/reviews/albums/22388-electronic-music-from-the-seventies-and-eighties/
16983,fantasm planes,clark,4.8,electronic,2012,http://pitchfork.com/reviews/albums/16983-fantasm-planes/
